app_id,app_name,developer,category_name,launch_date,has_free_plan,monthly_price_usd
359,UltimateInventory X,Ironwood Solutions,REVIEWS AND RATINGS,2022-12-11,Yes,
360,PrimeSales App,Evergreen Group,Inventory Management,2022-09-23,No,99.99
361,RapidCart Tool,Zenith Tech,Subscriptions,2019-12-09,No,9.99
362,ProBuild 360,BrightWave Systems,Subscriptions,2022-03-12,No,29.99
363,SmartPulse Plus,Acme Systems,STORE DESIGN,2018-04-19,No,9.99
364,UltimateEmail Max,Vertex Labs,SEO,2021-01-13,Yes,
365,RapidTrack Max,,Reporting and Analytics,2019-05-02,No,99.99
366,TopHub Lite,Quantum Group,Marketing,2018-01-27,No,9.99
367,PrimeTrack Lite,Compass Solutions,SEO,2021-04-20,No,29.99
368,EasyOrder App,Beacon Group,Sales and Conversion,2020-02-12,Yes,
369,MasterMind Studio,,search and navigation,2021-12-24,No,4.99
370,BrilliantSync AI,GoldStandard Group,Customer Support,2018-05-30,No,14.99
371,SleekReview 360,Echo Systems,REVIEWS AND RATINGS,2021-01-04,No,14.99
372,PowerPilot 360,BrightWave Group,email marketing,2022-03-21,No,4.99
373,GeniusPilot Flow,Fortis Apps,Subscriptions,2022-12-19,Yes,
374,AcePulse 360,Sundial Digital,Marketing,2019-08-31,No,9.99
375,ProOrder 360,Northern Star Apps,Subscriptions,2018-05-15,Yes,
376,PowerStack Max,Beacon Systems,Subscriptions,2022-07-31,No,49.99
377,EasyEmail App,Astra Group,Sales and Conversion,2021-03-23,No,14.99
378,TopInventory 360,Acme Software,SEO,2022-03-08,No,49.99
379,SleekInventory Studio,Ironwood Tech,Loyalty and Rewards,2018-06-27,Yes,
380,MasterStack Tool,Vanguard Systems,SEO,2022-06-22,No,14.99
381,AceShip 360,Northern Star Studios,Sales and Conversion,2018-03-27,Yes,
382,AceCart X,Kestrel Group,STORE DESIGN,2018-11-26,Yes,
383,ProOrder Lite,GoldStandard Apps,email marketing,2022-03-19,No,29.99
384,ProCart Max,GoldStandard Digital,Customer Support,2020-01-02,Yes,
385,BrilliantReview Tool,Quantum Digital,search and navigation,2019-11-04,No,14.99
386,MegaOrder Pro,Quantum Labs,SEO,2019-03-30,No,49.99
387,UltimateEdit AI,Sundial Digital,Customer Support,2022-05-06,Yes,
388,UltimateStack Tool,Astra Software,Productivity,2018-06-04,No,99.99
389,FreshMind X,,Marketing,2021-02-03,Yes,
390,TopTrack Flow,Beacon Tech,STORE DESIGN,2020-08-09,No,4.99
391,GeniusPilot Lite,Echo Group,STORE DESIGN,2020-07-02,Yes,
392,BoldBuild Pro,Fortis Digital,orders and shipping,2018-05-09,Yes,
393,SleekBuild X,BrightWave Digital,Marketing,2018-03-23,No,14.99
394,FreshOrder X,Kestrel Systems,Customer Support,2021-04-18,No,99.99
395,GeniusPulse X,Atlas Solutions,search and navigation,2022-06-12,No,29.99
396,UltimateOrder App,Atlas Software,Subscriptions,2019-04-17,No,14.99
397,BoldForge Tool,GoldStandard Studios,Subscriptions,2022-09-03,No,9.99
398,QuickMind App,BlueRiver Studios,Inventory Management,2023-03-05,Yes,
399,MagicReview Tool,Sundial Digital,email marketing,2020-09-13,Yes,
400,MasterPilot Lite,Peak Tech,STORE DESIGN,2022-01-23,No,19.99
401,TopConnect App,Nimbus Apps,orders and shipping,2020-12-06,No,29.99
402,BrilliantPilot Pro,Northern Star Group,SEO,2018-08-29,Yes,
403,RapidShip Lite,Kestrel Systems,REVIEWS AND RATINGS,2020-05-11,Yes,
404,TopBuild Flow,,Reporting and Analytics,2018-10-02,Yes,
405,RapidHub Studio,Zenith Apps,Productivity,2022-03-03,No,29.99
406,SuperHub Master,Nimbus Studios,Reporting and Analytics,2021-08-27,No,14.99
407,AcePilot Studio,Ironwood Systems,SEO,2019-02-22,No,99.99
408,MagicMind Master,Helix Systems,Productivity,2018-10-10,No,49.99
409,MasterInventory Tool,Peak Systems,SEO,2019-11-25,No,29.99
410,SmartReview App,BrightWave Systems,Sales and Conversion,2018-05-12,Yes,
411,TopConnect Flow,Kestrel Group,Inventory Management,2021-12-28,No,4.99
412,SleekSync Tool,BlueRiver Group,REVIEWS AND RATINGS,2021-12-01,Yes,
413,TopConnect Flow,Zenith Group,Marketing,2022-02-18,No,4.99
414,AceSearch Tool,Linear Labs,search and navigation,2023-03-20,No,4.99
415,ProStack Plus,Peak Tech,Customer Support,2023-04-24,Yes,
416,BoostBox X,GoldStandard Digital,SEO,2019-05-14,No,99.99
417,FreshShip AI,Nimbus Tech,Sales and Conversion,2020-02-23,No,9.99
418,SleekStack Pro,Compass Tech,orders and shipping,2019-08-12,Yes,
419,EasyStack App,BrightWave Solutions,Customer Support,2019-03-24,No,14.99
420,PowerTrack Max,Fortis Tech,orders and shipping,2019-04-15,Yes,
421,UltimateInventory Plus,PixelPerfect Digital,Loyalty and Rewards,2018-01-14,No,29.99
422,FreshSearch AI,Echo Group,Inventory Management,2020-03-25,Yes,
423,MegaForge 360,BlueRiver Group,Customer Support,2020-03-17,No,99.99
424,PowerConnect Flow,Nimbus Solutions,Customer Support,2021-06-08,No,9.99
425,BoldPilot Master,Atlas Studios,search and navigation,2020-05-18,Yes,
426,MasterMind App,GoldStandard Labs,email marketing,2018-07-24,No,99.99
427,TopCart App,Beacon Studios,search and navigation,2022-07-09,Yes,
428,RapidEdit AI,Vertex Tech,REVIEWS AND RATINGS,2022-10-25,No,19.99
429,PowerSearch AI,Kestrel Software,search and navigation,2022-03-05,Yes,
430,SmartHub Plus,Atlas Labs,Loyalty and Rewards,2021-03-25,No,29.99
431,BoldBox Plus,Cascade Tech,search and navigation,2021-07-17,No,99.99
432,EasyReview App,Quantum Labs,Customer Support,2019-10-11,No,49.99
433,BoostBox Master,,search and navigation,2020-04-27,Yes,
434,EasyCart App,Cascade Software,Sales and Conversion,2018-05-11,No,19.99
435,TopPulse Plus,Nimbus Tech,Loyalty and Rewards,2018-11-15,Yes,
436,PrimeSales App,Peak Studios,Marketing,2018-03-13,No,99.99
437,BoostStack AI,Vanguard Group,STORE DESIGN,2021-04-25,No,49.99
438,BoldStack Tool,PixelPerfect Digital,Inventory Management,2020-01-20,No,9.99
439,SmartForge AI,Vertex Apps,SEO,2020-05-31,No,29.99
440,MasterConnect X,Fortis Tech,Sales and Conversion,2020-05-14,No,29.99
441,MagicStack Studio,Evergreen Labs,email marketing,2018-05-21,Yes,
442,BrilliantForge Tool,Quantum Apps,STORE DESIGN,2018-04-12,No,4.99
443,BoostSales Max,Sundial Apps,orders and shipping,2018-07-04,Yes,
444,AceBox Max,BlueRiver Solutions,Sales and Conversion,2022-09-24,No,9.99
445,PowerSearch X,Acme Software,SEO,2022-01-03,Yes,
446,PrimeInventory 360,Ironwood Labs,search and navigation,2020-03-07,No,14.99
447,RapidPulse Plus,Astra Digital,Subscriptions,2019-09-04,Yes,
448,MasterSearch Flow,Nimbus Systems,SEO,2019-05-13,Yes,
449,AceReview Tool,Echo Digital,Sales and Conversion,2021-11-05,No,99.99
450,ProSales AI,Fortis Solutions,REVIEWS AND RATINGS,2022-06-03,No,14.99
451,PowerShip Max,Cascade Solutions,Productivity,2018-10-03,Yes,
452,RapidBuild Master,Beacon Digital,Inventory Management,2022-11-12,No,99.99
453,UltimateBox Studio,Astra Group,Customer Support,2020-07-18,Yes,
454,AcePilot Tool,Quantum Software,Subscriptions,2023-06-04,No,19.99
455,RapidSales Flow,Vertex Solutions,Reporting and Analytics,2021-08-05,Yes,
456,MasterEmail Tool,Nimbus Digital,orders and shipping,2018-07-22,Yes,
457,BoldPulse Flow,Compass Tech,Marketing,2020-01-21,Yes,
458,MegaBuild Max,BlueRiver Tech,REVIEWS AND RATINGS,2018-03-25,No,99.99
459,PowerCart 360,Ironwood Labs,Loyalty and Rewards,2021-07-04,No,29.99
460,AceBox Max,,Sales and Conversion,2018-12-08,No,29.99
461,MasterStack Flow,Sundial Solutions,Customer Support,2021-01-31,No,14.99
462,SuperPilot Tool,GoldStandard Group,orders and shipping,2020-02-08,No,49.99
463,QuickSync Flow,Acme Group,STORE DESIGN,2022-12-29,Yes,
464,BoostStack 360,Northern Star Studios,Sales and Conversion,2018-03-19,No,9.99
465,FreshTrack Tool,Astra Tech,Sales and Conversion,2021-03-14,Yes,
466,FreshInventory Flow,Kestrel Tech,Marketing,2022-02-05,No,19.99
467,MegaHub Plus,Helix Labs,Productivity,2021-08-29,No,4.99
468,SuperStack Flow,Vanguard Solutions,REVIEWS AND RATINGS,2021-11-30,Yes,
469,BrilliantMind 360,PixelPerfect Labs,Reporting and Analytics,2019-08-17,No,9.99
470,SleekHub Max,Vanguard Studios,search and navigation,2021-02-19,Yes,
471,RapidPilot Max,Peak Labs,orders and shipping,2018-05-27,Yes,
472,MegaHub Master,Atlas Labs,Customer Support,2019-12-07,No,4.99
473,AcePilot AI,Linear Studios,search and navigation,2018-04-02,No,9.99
474,ProEmail Tool,Linear Studios,email marketing,2022-09-01,No,4.99
475,MagicBox AI,Acme Solutions,orders and shipping,2022-02-24,No,9.99
476,UltimateShip X,GoldStandard Group,Marketing,2019-06-08,Yes,
477,BrilliantSearch Pro,Sundial Apps,Sales and Conversion,2020-03-06,No,49.99
478,TopTrack X,Peak Software,Customer Support,2020-09-19,No,29.99
479,PrimeStack Max,Acme Apps,orders and shipping,2023-03-04,No,14.99
480,AceSync Tool,Peak Tech,SEO,2018-05-07,No,19.99
481,TopSales Plus,Beacon Systems,REVIEWS AND RATINGS,2023-05-22,No,99.99
482,MagicPilot Master,Sundial Group,STORE DESIGN,2019-02-28,No,29.99
483,UltimateSync Max,Compass Group,STORE DESIGN,2020-05-30,No,99.99
484,ProOrder Master,Vanguard Apps,SEO,2019-10-15,No,19.99
485,BoostSales Tool,Nimbus Studios,STORE DESIGN,2018-02-23,No,29.99
486,GeniusShip Master,PixelPerfect Digital,STORE DESIGN,2020-10-25,No,19.99
487,TopForge AI,Vanguard Studios,orders and shipping,2019-04-09,Yes,
488,PowerReview App,Sundial Digital,Productivity,2019-10-28,No,9.99
489,BrilliantConnect Max,Quantum Systems,Loyalty and Rewards,2023-04-08,No,29.99
490,ProBox AI,BlueRiver Labs,REVIEWS AND RATINGS,2021-01-06,Yes,
491,SleekEmail Tool,Vertex Digital,Reporting and Analytics,2022-12-17,Yes,
492,QuickPulse App,,Sales and Conversion,2022-01-19,No,9.99
493,MegaEdit AI,Acme Studios,search and navigation,2021-04-23,No,9.99
494,ProReview Plus,Compass Digital,Subscriptions,2020-01-14,Yes,
495,SleekPilot App,Cascade Group,Reporting and Analytics,2018-03-31,No,14.99
496,MasterEmail X,Vertex Tech,Productivity,2022-04-24,No,14.99
497,UltimateCart Pro,Linear Tech,Marketing,2020-07-28,No,19.99
498,FreshForge AI,Evergreen Digital,Sales and Conversion,2021-05-16,No,9.99
499,RapidCart Pro,Echo Studios,Marketing,2021-08-30,Yes,
500,ProHub App,Echo Tech,Loyalty and Rewards,2021-09-15,No,29.99
